sample	collection_year	hospital	location	specimen
AIIMS5	2005	AIIMS	New_Delhi	Blood
AIIMS7	2005	AIIMS	New_Delhi	Blood
MMC18	2005	MMC	Tamil_Nadu	Wound
SRMC9	2005	SRMC	Tamil_Nadu	Urine
SRMC18	2005	SRMC	Tamil_Nadu	Wound
B8342	2014	CMC	Tamil_Nadu	Blood
B8300	2015	CMC	Tamil_Nadu	Blood
VB23193	2015	CMC	Tamil_Nadu	Blood
VB31459	2017	CMC	Tamil_Nadu	Blood
ACN21	2018	SGRH	New_Delhi	Blood
CIAT758	2018	TMC	West_Bengal	Blood
P7774	2018	PGIMER	Chandigarh	Pus
VB33071	2018	CMC	Tamil_Nadu	Blood
VB35179	2018	CMC	Tamil_Nadu	Blood
VB35435	2018	CMC	Tamil_Nadu	Blood
VB35575	2018	CMC	Tamil_Nadu	Blood
6507	2019	ICMR	New_Delhi	NA
PM2098	2019	AIIMS	New_Delhi	Blood
PM192696	2019	AIIMS	New_Delhi	Sputum
PM193665	2019	AIIMS	New_Delhi	Sputum
PM194188	2019	AIIMS	New_Delhi	Sputum
PM194229	2019	AIIMS	New_Delhi	Sputum
PM1912235	2019	AIIMS	New_Delhi	Sputum
SP304	2019	CMC	Tamil_Nadu	Sputum
VB82	2019	CMC	Tamil_Nadu	Blood
VB473	2019	CMC	Tamil_Nadu	Sputum
VB723	2019	CMC	Tamil_Nadu	Blood
VB958	2019	CMC	Tamil_Nadu	Blood
VB1190	2019	CMC	Tamil_Nadu	Blood
VB2107	2019	CMC	Tamil_Nadu	Sputum
VB2139	2019	CMC	Tamil_Nadu	Sputum
VB2181	2019	CMC	Tamil_Nadu	Blood
VB2200	2019	CMC	Tamil_Nadu	Sputum
VB2486	2019	CMC	Tamil_Nadu	Sputum
VB7036	2019	CMC	Tamil_Nadu	Blood
VB11737	2019	CMC	Tamil_Nadu	Blood
VB16141	2019	CMC	Tamil_Nadu	Blood
KSK_sensitive	2020	JNU	New_Delhi	Sputum
KSK1	2020	JNU	New_Delhi	Sputum
KSK2	2020	JNU	New_Delhi	Sputum
KSK6	2020	JNU	New_Delhi	Sputum
KSK7	2020	JNU	New_Delhi	Sputum
KSK10	2020	JNU	New_Delhi	Sputum
KSK11	2020	JNU	New_Delhi	Sputum
KSK18	2020	JNU	New_Delhi	Sputum
KSK19	2020	JNU	New_Delhi	Sputum
KSK20	2020	JNU	New_Delhi	Sputum
